Bot player - X,Bot,8
Human player - O,Human,5
Human player - O,Human,9
Bot player - X,Bot,8
Bot player - X,Bot,7
Bot player - X,Bot,9
Bot player - X,Bot,6
Human player - O,Human,5
Human player - X,Human,8
Human player - O,Human,7
Human player - X,Human,9
Human player - O,Human,9
Human player - X,Human,9
Human player - O,Human,9
Human player - X,Human,6
Human player - O,Human,5
Human player - X,Human,7
Human player - O,Human,8
Human player - X,Human,8
Human player - O,Human,6
Human player - X,Human,7Human player - O,Human,5
Human player - O,Human,5
Human player - O,Human,5
Bot player - X,Bot,8
Human player - X,Human,15
Bot player - X,Bot,20
